asin,product_name,price,review_url
B08259JHK6,CROSSBEATS Pebble 2020 True Wireless in-Ear Earbuds Earphones Headphones Bluetooth 5.0 Microphone 3D Sound 20Hrs Playtime Auto Pairing Stereo Calls Deep Bass (Imperial Jade),"₹ 3,599.00",https://www.amazon.in//CROSSBEATS-Earphones-Headphones-Bluetooth-Microphone/product-reviews/B08259JHK6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
B07LG2CRYC,Boult Audio AirBass Monopod in-Ear Wireless Bluetooth Earphones with inbuilt Mic and IPX4 Sweatproof (Black),₹ 599.00,https://www.amazon.in//Boult-Audio-Bluetooth-Earphones-Sweatproof/product-reviews/B07LG2CRYC/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
B07GSY95GZ,iBall Mini Earwear A9 Bluetooth Handsfree with Microphone (Black),,https://www.amazon.in//iBall-Earwear-Bluetooth-Handsfree-Microphone/product-reviews/B07GSY95GZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
B08CDSKN12,"EDICT by Boat EWE01 in-Ear Wireless Earphone with Bluetooth V5.0, Engaging Sound, Secure-fit Lightweight Design, Dual Pairing, IPX5 Water & Sweat Resistance and Voice Assistant(Black)",,https://www.amazon.in//EDICT-EWE01-Secure-fit-Lightweight-Resistance/product-reviews/B08CDSKN12/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
B08BSGRVFW,truke Fit Pro in-Ear True Wireless Bluetooth Headphones (TWS) with Mic (Carbon Black),₹ 799.00,https://www.amazon.in//truke-Wireless-Bluetooth-Headphones-Carbon/product-reviews/B08BSGRVFW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
B081QXQVFM,"pTron Bassbuds Lite V2 In-Ear True Wireless Bluetooth 5.0 Headphones with HiFi Deep Bass, Total 20Hrs Playtime, Ergonomic Sweatproof Earbuds, Noise Isolation, Voice Assistance & Built-in Mic - (Black)",₹ 799.00,https://www.amazon.in//PTron-Bassbuds-Lite-Bluetooth-Headphones/product-reviews/B081QXQVFM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
B08BD1GVTK,"JBL C105TWS True Wireless in-Ear Headphones with 17 Hours Playtime (5 Hrs on Earbuds, 12 Hrs in Case), Quick Charging & Bluetooth 5.0 (Black)","₹ 3,099.00",https://www.amazon.in//JBL-C105TWS-Wireless-Headphones-Bluetooth/product-reviews/B08BD1GVTK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
B086WN6N4G,boAt Airdopes 171 Bluetooth Truly Wireless Earbuds with Mic(Rose Gold),"₹ 1,499.00",https://www.amazon.in//Boat-Airdopes-171-Functionality-Resistance/product-reviews/B086WN6N4G/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
B089DCBTZS,"Pebble Duet True Wireless Ear Pods Headset with Mic (White) with Bluetooth V5.0, Immersive Audio, Up to 12H Total Playtime, IPX4 Water & Sweat Resistance, Ergonomic Design and Instant Voice Assistant","₹ 1,499.00",https://www.amazon.in//Pebble-Bluetooth-Immersive-Resistance-Ergonomic/product-reviews/B089DCBTZS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
B082MDMW3X,Infinity (JBL) Glide 120 Metal in-Ear Wireless Flex Neckband with Bluetooth 5.0 and IPX5 Sweatproof (Black and Yellow),₹ 899.00,https://www.amazon.in//Infinity-Glide-120-Earphones-Sweatproof/product-reviews/B082MDMW3X/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
