asin,title,review,star
B0855T8JT2,"







  
  
    Poor call quality - had to return
  
","









  
  
    
  Got these earphones after a long research. The online reviews focus mostly on the sound quality. These buds perform well in that department. Dual drivers deliver good and loud output. The case is made up of soft touch plastic. The magnetic buds snap in perfectly. No complaints on design and build quality.Where these fail miserably is the microphone department. I had to write this review so that others buy these with this point in mind. I could not find any detailed review on the call quality - for which I had to suffer. Calls sound muffled through these mics. The person on the other end always had complaints regarding the sound - in a quiet or noisy environment I was sounding really bad. I personally heard it by pairing it to someone else's phone - the microphones are truly miserable.Also would like to comment on the fit - they are okay but will not provide too much of passive noise cancellation.Also, what's the deal with free movie vouches for posting a review on Amazon? Are you kidding me crossbeats?Have returned the product.

  
",3.0
B0855T8JT2,"







  
  
    Sound Output
  
","









  
  
    
  Music quality is Way better than the competitors - 4/5Call quality is decent enough  - 3/5  but could have been better as the mic sometimes sounds muffled to the other person.Noise cancellation is way good for this price.The case is very premium, green is far better than grey.the earpods are very light, they snug fit easily, I go to Gym wearing them and exercise whic includes running and they dont fall at all.

  
",5.0
B0855T8JT2,"







  
  
    Wonderful
  
","









  
  
    
  I was a bit skeptical while buying it but this is performing beyond expectations , sleek design and high quality audio . Will update after a week of use .

  
",5.0
B0855T8JT2,"







  
  
    Hi
  
","









  
  
    
  Hi

  
",4.0
B0855T8JT2,"







  
  
    Best earbuds for 5000 rs
  
","









  
  
    
  The product feels very premium and the fit of earbuds is Soo good.Feels like I'm not wearing at all. It's so light 😍It sounds so good the bass is very punchy and it's sound stage is also very good compared to it's competitors.Overall it's a must buy if ur budget is around 5000.

  
",5.0
B0855T8JT2,"







  
  
    Don't buy it. Waste of money
  
","









  
  
    
  Pathetic earpods. One side worked only if your head was tilted towards one side. As soon as you keep your head straight the right side stops working. It was so frustrating and utter waste of time. Returned it.Not worth the amount. If you are selling someone item worth 5k at least do a proper quality check.

  
",1.0
B0855T8JT2,"







  
  
    Good
  
","









  
  
    
  Sound quality is good.

  
",5.0
B0855T8JT2,"







  
  
    Not value for money. Looks and sounds like cheap china product
  
","









  
  
    
  Cranky sound if we press buttons for next track also not fits and comfortable in ears. Also earbuds rubber quality is very poor

  
",1.0
B0855T8JT2,"







  
  
    Pretty bad performance, no bass, treble hurts your ears
  
","









  
  
    
  Ordinary sound, ordinary bass, ordinary fit. Everything is ordinary about these earphones. I purchased these after reading the good reviews, & after using them for around 15-20 min, I wondered what was wrong with the people giving good reviews. Definitely trust the bad reviews on these. I expect a better performance if I'm buying earphones above 4k.

  
",1.0
B0855T8JT2,"







  
  
    Audio 10/10, Voice 0/10
  
","









  
  
    
  Yet another ear piece that has awesome audio, but scores a ZERO on call quality.

  
",1.0
B0855T8JT2,"







  
  
    Not for calls or workout.
  
","









  
  
    
  Workout - No No.It falls off, tried with all 3 pairs of earbuds.Hence the one star because they market it as being perfect for working out.Calls - Even in extreme quiet, the other person will struggle to hear you. The mic is a big problem.Fit - Sticks out of your ear. Does not fit in like shown in pictures. It's clearly visible - almost looks like a mole.If your idea is to listento music, the sound is crisp and the bass is okay.The bluetooth auto connects which is good.Connects one earphone as well.All in all, not value for money. Wait for better options or buy other brands.(I passed the deadline to return the product so I'm stuck with it, but I use it to listen to music so alright.)

  
",1.0
