asin,title,review,star
B0855T8JT2,"['poor', 'quality', 'return']","['got', 'earphones', 'long', 'research', 'online', 'reviews', 'focus', 'sound', 'quality', 'buds', 'perform', 'department', 'dual', 'drivers', 'deliver', 'good', 'loud', 'output', 'case', 'soft', 'touch', 'plastic', 'magnetic', 'buds', 'snap', 'perfectly', 'complaints', 'design', 'build', 'quality', 'fail', 'miserably', 'microphone', 'department', 'write', 'review', 'buy', 'point', 'mind', 'find', 'detailed', 'review', 'quality', 'suffer', 'calls', 'sound', 'muffled', 'mics', 'person', 'end', 'complaints', 'sound', 'quiet', 'noisy', 'environment', 'sounding', 'bad', 'personally', 'heard', 'pairing', 'phone', 'microphones', 'truly', 'miserable', 'like', 'comment', 'fit', 'okay', 'provide', 'passive', 'noise', 'cancellation', 'deal', 'free', 'movie', 'vouches', 'posting', 'review', 'amazon', 'kidding', 'returned', 'product']",3.0
B0855T8JT2,"['sound', 'output']","['music', 'quality', 'way', 'better', 'competitors', 'quality', 'decent', 'better', 'mic', 'sounds', 'muffled', 'person', 'noise', 'cancellation', 'way', 'good', 'price', 'case', 'premium', 'green', 'far', 'better', 'earpods', 'light', 'snug', 'fit', 'easily', 'gym', 'wearing', 'exercise', 'whic', 'includes', 'running', 'nt', 'fall']",5.0
B0855T8JT2,['wonderful'],"['bit', 'skeptical', 'buying', 'performing', 'expectations', 'sleek', 'design', 'high', 'quality', 'audio', 'update', 'week', 'use']",5.0
B0855T8JT2,['hi'],['hi'],4.0
B0855T8JT2,"['best', 'earbuds', 'rs']","['product', 'feels', 'premium', 'fit', 'earbuds', 'soo', 'good', 'feels', 'like', 'wearing', 'light', 'sounds', 'good', 'bass', 'punchy', 'sound', 'stage', 'good', 'compared', 'competitors', 'overall', 'buy', 'ur', 'budget']",5.0
B0855T8JT2,"['buy', 'waste', 'money']","['pathetic', 'earpods', 'worked', 'head', 'tilted', 'soon', 'head', 'straight', 'right', 'stops', 'working', 'frustrating', 'utter', 'waste', 'time', 'returned', 'worth', 'selling', 'item', 'worth', 'proper', 'quality', 'check']",1.0
B0855T8JT2,['good'],"['sound', 'quality', 'good']",5.0
B0855T8JT2,"['value', 'money', 'looks', 'sounds', 'like', 'cheap', 'china', 'product']","['cranky', 'sound', 'press', 'buttons', 'track', 'fits', 'comfortable', 'ears', 'earbuds', 'rubber', 'quality', 'poor']",1.0
B0855T8JT2,"['pretty', 'bad', 'performance', 'bass', 'treble', 'hurts', 'ears']","['ordinary', 'sound', 'ordinary', 'bass', 'ordinary', 'fit', 'ordinary', 'earphones', 'purchased', 'reading', 'good', 'reviews', 'min', 'wondered', 'wrong', 'people', 'giving', 'good', 'reviews', 'definitely', 'trust', 'bad', 'reviews', 'expect', 'better', 'performance', 'buying', 'earphones']",1.0
B0855T8JT2,"['audio', 'voice']","['ear', 'piece', 'awesome', 'audio', 'scores', 'zero', 'quality']",1.0
B0855T8JT2,"['calls', 'workout']","['workout', 'falls', 'tried', 'pairs', 'earbuds', 'star', 'market', 'perfect', 'working', 'calls', 'extreme', 'quiet', 'person', 'struggle', 'hear', 'mic', 'big', 'problem', 'fit', 'sticks', 'ear', 'fit', 'like', 'shown', 'pictures', 'clearly', 'visible', 'looks', 'like', 'mole', 'idea', 'listento', 'music', 'sound', 'crisp', 'bass', 'okay', 'bluetooth', 'auto', 'connects', 'good', 'connects', 'earphone', 'value', 'money', 'wait', 'better', 'options', 'buy', 'passed', 'deadline', 'return', 'product', 'stuck', 'use', 'listen', 'music', 'alright']",1.0
B0855T8JT2,"['okay', 'price', 'point', 'finicky', 'audio', 'quality']","['pros', 'design', 'case', 'headphones', 'amazing', 'looks', 'sleek', 'build', 'light', 'weight', 'barely', 'feel', 'button', 'controls', 'pretty', 'battery', 'life', 'adequate', 'average', 'userscons', 'audio', 'quality', 'average', 'specially', 'compared', 'products', 'crossbeats', 'noise', 'cancellation', 'overall', 'sound', 'quality', 'calls', 'badit', 'decent', 'product', 'sound', 'quality', 'think', 'overpriced']",3.0
B0855T8JT2,"['bang', 'buck', 'wireless', 'marvel']","['people', 'praised', 'look', 'earphones', 'sky', 'kidding', 'adorable', 'ear', 'pieces', 'pair', 'amazingly', 'quickly', 'tab', 'phone', 'bt', 'sound', 'quality', 'stunning', 'right', 'levels', 'bass', 'treble', 'calls', 'need', 'hold', 'ear', 'piece', 'near', 'mouth', 'loud', 'dual', 'mics', 'ear', 'pieces', 'pick', 'voice', 'low', 'tone', 'mushy', 'calls', 'hehe', 'low', 'latency', 'means', 'video', 'viewing', 'audio', 'lag', 'love', 'charge', 'cute', 'little', 'case', 'time', 'ready', 'listen', 'case', 'easily', 'fit', 'pocket', 'sturdy', 'super', 'portable', 'run', 'juice', 'offer', 'grreat', 'value', 'money', 'case', 'type', 'c', 'fast', 'charging', 'unit', 'try', 'use', 'charger', 'power', 'bank']",5.0
B0855T8JT2,"['fall', 'paid', 'positive', 'reviews']","['like', 'warn', 'positive', 'reviews', 'paid', 'reviews', 'incentive', 'months', 'ganna', 'subscription', 'soon', 'register', 'product', 'warranty', 'start', 'getting', 'whatsapp', 'messages', 'calls', 'crossbeats', 'customer', 'representative', 'number', 'continuously', 'asking', 'send', 'screenshot', 'positive', 'review', 'exchange', 'months', 'gaana', 'subscription', 'dedicated', 'channel', 'pushing', 'customers', 'positive', 'reviews', 'case', 'face', 'issue', 'way', 'directly', 'talk', 'customer', 'representative', 'resolve', 'send', 'mail', 'support', 'wait', 'hours', 'reply', 'mail', 'reply', 'ask', 'invoice', 'product', 'details', 'sending', 'mail', 'mail', 'd', 'product', 'registered', 'second', 'mail', 'ask', 'restart', 'bud', 'check', 'resolves', 'issue', 'mail', 'ask', 'record', 'video', 'problem', 'send', 'facing', 'audio', 'connectivity', 'issue', 'asked', 'send', 'video', 'know', 'record', 'video', 'average', 'week', 'till', 'actual', 'response', 'problem', 'actually', 'help', 'issue', 'having', 'connectivity', 'issue', 'audio', 'output', 'right', 'bud', 'getting', 'disrupted', 'frequently', 'split', 'second', 'seconds', 'repeating', 'like', 'irritating', 'response', 'finally', 'got', 'week', 'standard', 'bluetooth', 'powered', 'devices', 'told', 'wifi', 'bluetooth', 'connection', 'getting', 'disrupted', 'normal', 'replied', 'bluetooth', 'earphone', 'bluetooth', 'speaker', 'brands', 'years', 'faced', 'issue', 'surely', 'standard', 'bluetooth', 'devices', 'left', 'bud', 'working', 'fine', 'right', 'having', 'problem', 'got', 'reply', 'bought', 'month', 'ago', 'asked', 'replacement', 'help', 'fix', 'issue', 'got', 'response', 'getting', 'positive', 'review', 'send', 'whatsapp', 'reminder', 'everyday', 'alternate', 'day', 'fail']",1.0
B0855T8JT2,['rip'],"['rip', 'offits', 'jus', 'good', 'looking', 'headphone', 'functionality', 'problemsi', 'regret', 'going', 'itnoise', 'cancellation', 'crappy', 'andvoice', 'echo', 'sorts', 'callsand', 'support', 'customer', 'care']",1.0
B0855T8JT2,"['design', 'look', 'earphones', 'amazing']","['got', 'good', 'battery', 'life', 'handy', 'device', 'decent', 'sound', 'slick', 'design', 'connection', 'reset', 'guide', 'given', 'microphone', 'horrible', 'constant', 'noise', 'receiving', 'hard', 'time', 'connecting', 'device', 'fails', 'detect', 'individual', 'price', 'high', 'compare', 'basic', 'services', 'bass', 'expect', 'hint', 'bass', 'needs', 'high']",1.0
